患者	5729
明显	3543
治疗	3024
化疗	2563
我院	2291
术后	2232
出现	1764
正常	1680
入院	1589
体重	1564
就诊	1478
病理	1369
精神	1343
睡眠	1226
以来	1158
门诊	1137
呕吐	1136
进一步	1129
发热	1096
出院	1039
10	1038
恶心	1011
不适	1002
腹痛	973
提示	972
我科	967
收入	963
复查	916
症状	911
考虑	896
淋巴结	866
检查	848
大便	847
诊断	843
未见	830
咳嗽	830
大小便	830
转移	825
方案	815
给予	809
腹胀	788
饮食	788
医院	748
诱因	728
食欲	704
好转	692
2015	690
12	667
小便	658
发病	647
2014	647
11	628
周期	625
胸闷	621
缓解	618
变化	613
2016	612
疼痛	597
加重	595
不详	573
腹泻	556
顺利	549
具体	547
手术	543
恢复	531
肿瘤	530
对症	526
见癌	519
胸痛	492
尚可	488
发现	484
2012	482
浸润	481
较前	480
结节	477
咳痰	469
气促	467
活动	464
异常	463
诊治	459
乏力	459
口服	459
改变	452
组织	435
进食	423
上降	423
一般	422
2013	421
全麻	418
反复	405
胃镜	399
CT	395
肿物	382
再次	380
心悸	375
予以	372
良好	369
住院	367
年前	364
减轻	360
上行	359
发作	348
20	341
头晕	336
多发	330
可见	328
开始	327
天前	325
建议	324
支持	317
住院治疗	317
放疗	316
14	313
大小	312
头痛	312
服用	311
免疫组化	309
情况	309
今日	307
浆膜	306
药物	303
D1	300
阵发性	300
水肿	297
外院	295
未见癌	290
过程	288
反酸	286
病程	286
病情	283
处理	282
嗳气	275
增大	273
侵犯	273
近期	266
头昏	264
部分	264
如常	263
2011	262
抗感染	262
当地	261
无畏	259
活检	259
家属	258
15	256
完善	251
逐渐	250
CM	250
夜间	249
肿大	246
13	243
呕血	240
欠佳	239
为求	238
血压	238
U0004	235
呼吸困难	235
控制	228
癌栓	228
期间	226
月余	225
二便	223
结果	221
25	221
奥沙利铂	220
黑便	219
30	219
受凉	213
累及	213
纳差	212
营养	210
偶有	210
现为	209
病变	209
侵及	208
皮肤	207
病灶	207
体力	206
辅助	205
此次	204
03	204
mmol	203
自行	201
09	201
切除	199
胃纳	199
明确	197
04	197
2017	197
继续	194
目前	194
伴有	193
17	193
16	192
复发	192
缘于	190
患病	190
间断	189
切缘	188
持续	185
结合	185
血常规	184
周围	184
末次	184
可能	183
下次	182
增厚	182
18	181
神志	180
咯血	180
+++	179
27	179
特殊	179
小时	179
细胞	179
起病	179
未查	178
直肠	177
两上肢	177
01	177
21	175
PT	174
05	173
28	172
06	171
休息	170
隐痛	169
07	169
心累	168
中见	168
分化	168
少量	167
下述	167
长期	167
溃疡	167
腹腔	167
22	167
自觉	167
肛门	167
23	165
24	164
本次	163
局部	162
08	162
急诊	160
血糖	159
今为	159
规律	159
排便	158
后于	158
出血	157
符合	157
02	157
CK	156
分期	156
为行	156
增多	155
19	154
寒战	153
未予	153
定期	151
腺癌	151
不能	150
26	149
轻度	149
代谢	149
烧心	148
肿块	148
CEA	146
收住	146
占位	146
患儿	146
II	145
放射	145
粘膜	144
白色	143
XELOX	142
管内	141
多次	140
全身	140
腹部	139
晕厥	138
抑酸	138
ML	138
标本	134
愈合	134
会诊	134
最高	133
便血	133
补液	132
29	130
阴道	130
麻木	129
不伴	129
下降	129
阳性	128
反应	128
日行	128
保肝	128
再次出现	128
盗汗	128
冠心病	127
肢体	126
心慌	126
找到	125
希罗达	125
浮肿	125
畏寒	124
大网膜	124
位于	123
月经	123
耐受	123
粘液	121
重视	121
脉管	121
盆腔	121
科行	121
回声	121
腹水	120
直肠癌	118
较差	118
顺铂	118
内容	117
切线	117
cm	117
增生	116
常规	116
胃癌	116
包块	116
收治	116
紫杉醇	115
时间	114
粘连	114
未行	114
2010	114
四肢	113
增强	113
止血	112
宫颈	111
镜检查	110
升高	110
模糊	110
体温	108
静滴	108
D2	107
减少	107
相关检查	107
尿急	107
尿频	106
ct	106
中分化腺癌	106
少许	105
心电图	104
++	104
喘累	104
脂肪组织	104
病史	104
上切	103
左侧	103
替吉奥	103
每日	103
缩小	102
狭窄	102
改善	102
体检	101
白细胞	101
随访	101
自诉	101
TT	101
下切	100
伤口	100
肝脏	100
隆起	100
呼吸	100
KI67	99
监测	99
同时	99
临床	99
排除	99
送检	99
胀痛	98
可能性	98
障碍	98
乙状结肠	97
次数	97
静脉	96
肠壁	96
表面	96
未见异常	96
食管	96
低分化腺癌	95
至今	95
排气	94
为主	94
回报	94
止吐	93
黄染	93
性质	93
神经	92
报告	91
31	91
不规则	91
未诉	90
拒绝	90
一次	90
转移瘤	89
便秘	89
失禁	88
子宫	88
肠镜	88
清醒	87
急诊科	86
下腹部	86
胸片	86
用药	86
自服	85
阴性	85
尿痛	85
平素	85
要求	85
意识	84
效果	84
表现	84
结肠	84
心前区	84
1.5	84
周前	84
输液	83
切口	83
疗程	83
持续性	83
引流	83
平喘	82
每次	82
稳定	82
泡沫痰	82
量少	82
切除术	81
查血	81
上述	81
当时	81
扩张	81
探查	81
纤维	81
右侧	81
基因	80
精神状态	80
禁忌	80
109	80
否认	80
体重减轻	79
无殊	79
染色	78
除外	78
感染	78
既往	78
血小板	78
抗炎	78
多西他赛	77
活跃	77
消瘦	77
双下肢	76
黑色	76
相关	76
分别	76
辅以	76
肌层	75
胃体	75
服药	75
上肢	74
强化	74
基本	74
阴道流血	73
穿刺	73
左右	73
黄色	72
软组织	72
明显好转	72
半月	72
电解质	72
喘息	72
腹膜	71
淋巴结转移	71
超声	71
现为求	71
中药	71
入住	71
确诊	71
抽搐	70
2型糖尿病	70
腹部CT	70
增高	70
2.5	70
粘液腺癌	69
坏死	69
息肉	69
正规	69
放化疗	69
结束	69
进行性	69
亚叶酸钙	68
神经束	68
肝硬化	68
可疑	68
高血压病	68
下行	68
征象	68
检测	68
糖尿病	67
镜上	67
困难	67
形成	67
压榨	67
u0004	67
TP	67
转入	67
无黑	67
停止	66
降压	66
肾功	66
进展	66
镜检	66
外科	66
诊疗	65
肠周淋巴结	65
替加氟	65
神清	65
低密度	65
成形	64
脂肪	64
中度	64
触及	64
肠系膜	64
输血	64
外膜	64
今为求	63
维持	63
每年	63
胰腺	63
现为行	63
副反应	63
评价	63
CA199	63
一程	63
心肌	62
卡铂	62
术顺	62
NG	62
并于	62
分钟	62
胸骨后	61
mg	61
体积	61
来院	61
黏膜	61
贫血	61
FOLFOX	61
b超	61
孕期	61
胃肠	60
咳出	60
密度	60
平卧	60
网膜	60
吻合口	60
口服药物	60
诊为	59
骨髓抑制	59
腹部彩超	59
此后	59
BID	59
视物	59
较大	59
两肺	59
胃癌根治术	59
吞咽困难	58
脓血	58
血红蛋白	58
面积	58
胃癌术后	58
另送	58
不清	58
剂量	58
潮热	58
后感	57
小肠	57
mol	57
术程	57
侵出	57
卡培他滨	57
印戒细胞癌	57
下腹	56
状态	56
胸部CT	56
介入	56
血液	56
纠正	56
0.3	56
黄疸	56
功能	56
联合	56
胆囊	56
单药	56
皮疹	56
双端	55
PR	55
2009	55
病检	55
WBC	55
利尿	55
III	55
憋气	55
AFP	55
瘙痒	55
突变	55
行走	54
彩超	54
增加	54
侵达	54
免疫	54
有所	53
ml	53
端坐	53
粘痰	53
钙化	53
慢性	53
病人	52
年余	52
SYN	52
血便	52
遂行	52
肝功	52
囊肿	52
咯痰	52
肠壁全层	52
行肠	51
口干	51
颜面	51
双切	51
制酸	51
胸部ct	51
疗效	51
颈部	51
减退	51
信号	51
0.5	50
近来	50
断端	50
查见	50
半年前	50
本院	50
半年	50
血尿	50
程度	50
流涕	50
心脏彩超	50
使用	49
突发	49
手术过程	49
积液	49
余年	49
每天	49
并行	48
骨髓	48
停药	48
止咳	48
评效	48
67	48
排尿	48
拟行	48
无意识	48
120	48
标志物	48
上层	48
呛咳	48
白细胞数	47
咖啡色	47
P53	47
血管	47
轻微	47
SD	47
胃窦	47
形态	47
无法	47
HER	47
耳鸣	47
旋转	47
无视	47
腹膜后	47
通畅	47
年余前	47
空腹血糖	47
自病	47
中下腹	46
大致	46
肺部感染	46
PET-CT	46
透析	46
系统	46
其他	46
护胃	46
未解	46
之后	46
炎症	46
平时	46
不佳	45
40	45
高血压	45
3CM	45
MLH1	45
S2	45
肝转移	45
肠梗阻	45
恶性肿瘤	45
200MG	45
自动	45
腰痛	45
远端	45
红细胞	45
pr	45
丧失	44
50	44
部位	44
消化道出血	44
多个	44
恶性	44
中性粒细胞百分比	43
质硬	43
结缔组织	43
贲门	43
呕吐物	43
糜烂	43
范围	42
食量	42
管及	42
光滑	42
肠管	42
剧烈	42
奈达铂	42
伊立替康	42
平稳	42
通过	42
意见	42
预防	42
占位性	42
自述	42
送入	42
动脉	42
下肢	42
存在	41
直肠癌术后	41
血红蛋白浓度	41
氟尿嘧啶	41
胃壁	41
卵巢	41
增减	41
尿量	41
昨日	41
B超	41
日于	41
肝内	41
剑突上	41
乙状结肠癌	41
1.0	41
幽门上淋巴结	41
无关	41
平地	41
查体	40
内镜	40
深肌层	40
39	40
内科	40
MSH2	40
评分	40
EGFR	40
均匀	40
电子	40
不良反应	40
肿标	40
扫描	40
肩背部	40
体位	40
坠胀	40
颜色	40
多于	40
上腹部	40
近端	40
CD56	39
PM	39
指征	39
肌酐	39
CA	39
其中	39
如下	39
保胃	39
3.5	39
行第	39
膀胱	39
腹腔镜	38
MSH6	38
根据	38
梗阻	38
50%	38
随后	38
肝癌	38
测血压	38
重度	38
